epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,7769.55,1.03561,0.6222,0.97726,0.931,0.96552,0.95568,0.59324,1.39293,0.71235,1.11401,0.0005546,0.0005546,0.0005546
75,7875.46,0.91886,0.59108,0.95444,0.89794,0.93103,0.94354,0.60482,1.44583,0.76369,1.14365,0.0005348,0.0005348,0.0005348
76,7982.03,0.98977,0.59353,0.96136,0.93121,0.96552,0.96401,0.62488,1.32848,0.69918,1.13754,0.000515,0.000515,0.000515
77,8088.06,0.95586,0.57997,0.95207,0.93124,0.96552,0.96547,0.61102,1.3362,0.70142,1.1447,0.0004952,0.0004952,0.0004952
78,8194.11,0.9347,0.61203,0.96482,0.96435,1,0.99167,0.62318,1.34841,0.63152,1.1532,0.0004754,0.0004754,0.0004754
79,8300.06,0.96369,0.61282,0.96111,0.93129,0.96552,0.96349,0.59164,1.30893,0.60872,1.11225,0.0004556,0.0004556,0.0004556
80,8405.29,0.97893,0.60375,0.97,0.93123,0.96552,0.9635,0.57495,1.3444,0.66724,1.1053,0.0004358,0.0004358,0.0004358
81,8511.4,0.92172,0.59684,0.94339,0.9643,1,0.978,0.59195,1.46411,0.68325,1.1411,0.000416,0.000416,0.000416
82,8617.77,0.90532,0.59331,0.94822,0.96451,1,0.979,0.55956,1.57006,0.67761,1.1752,0.0003962,0.0003962,0.0003962
83,8723.21,0.89773,0.60367,0.9366,0.89751,0.93103,0.94463,0.54829,1.49949,0.72697,1.14196,0.0003764,0.0003764,0.0003764
84,8830.92,0.88254,0.57918,0.93019,0.93094,0.96552,0.9506,0.57597,1.5121,0.62282,1.12905,0.0003566,0.0003566,0.0003566
85,8936.43,0.95883,0.60611,0.95172,0.93101,0.96552,0.95375,0.58638,1.42746,0.61273,1.1059,0.0003368,0.0003368,0.0003368
86,9043.77,0.86587,0.57734,0.94577,0.89776,0.93103,0.92396,0.56133,1.3956,0.60887,1.11581,0.000317,0.000317,0.000317
87,9148.76,0.96279,0.58929,0.9654,0.93109,0.96552,0.95105,0.5639,1.35247,0.63242,1.12266,0.0002972,0.0002972,0.0002972
88,9255.09,0.91446,0.57139,0.96237,0.96449,1,0.98133,0.62378,1.19707,0.64798,1.10505,0.0002774,0.0002774,0.0002774
89,9361.72,0.96103,0.58234,0.95729,0.93123,0.96552,0.9507,0.59419,1.23338,0.60762,1.09992,0.0002576,0.0002576,0.0002576
90,9467.79,0.87074,0.55631,0.91936,0.93129,0.96552,0.94868,0.61856,1.13023,0.61378,1.07277,0.0002378,0.0002378,0.0002378
91,9573.17,0.79189,0.50353,0.90716,0.93129,0.96552,0.94689,0.62474,1.18537,0.61115,1.08546,0.000218,0.000218,0.000218
92,9678.34,0.78355,0.4948,0.88231,0.96447,1,0.97667,0.6282,1.32102,0.63871,1.11573,0.0001982,0.0001982,0.0001982
93,9783.3,0.77971,0.4991,0.89014,0.96439,1,0.978,0.64144,1.34327,0.6583,1.12154,0.0001784,0.0001784,0.0001784
94,9888.97,0.77845,0.49352,0.90433,0.96429,1,0.979,0.63179,1.33207,0.68123,1.10998,0.0001586,0.0001586,0.0001586
95,9993.51,0.78009,0.48993,0.90031,0.96422,1,0.979,0.62557,1.28288,0.6792,1.09281,0.0001388,0.0001388,0.0001388
96,10099.1,0.77149,0.49366,0.90691,0.96416,1,0.97667,0.61151,1.30207,0.67273,1.09821,0.000119,0.000119,0.000119
97,10199.3,0.74486,0.47727,0.87867,0.9322,0.96552,0.95415,0.60741,1.36245,0.6343,1.12147,9.92e-05,9.92e-05,9.92e-05
98,10296.1,0.74405,0.47604,0.87817,0.96437,1,0.97567,0.61365,1.36536,0.59362,1.13172,7.94e-05,7.94e-05,7.94e-05
99,10396.5,0.75393,0.4712,0.89465,0.9644,1,0.97567,0.614,1.35204,0.58769,1.13291,5.96e-05,5.96e-05,5.96e-05
100,10495.7,0.77474,0.47982,0.88782,0.96431,1,0.97567,0.61137,1.36307,0.59781,1.13971,3.98e-05,3.98e-05,3.98e-05
